Reservation No.,Year of reservation made,Month of reservation made,Date of reservation made,Hour of reservation made,Minutes of reservation made,Year of planned departure,Month of planned departure,Date of planned departure,Hour of planned departure,Minutes of planned departure,Year of planned arrival,Month of planned arrival,Date of planned arrival,Hour of planned arrival,Minutes of planned arrival,Year of checked in ,Month of checked in ,Date of checked in ,Hour of checked in ,Minutes of checked in ,Year of checked out,Month of checked out,Date of checked out,Hour of checked out,Minutes of checked out,Station ID of checked in,Station name,Station ID of checked out,Station name,Vehicle type,Vehicle registraiton No.,Vehicle No.,Time of use,Energy used,Age of driver,ID Card No,Sex,Occupation
MNR-03376,2016,7,8,14,26,2016,7,8,14,30,2016,7,8,18,55,2016,7,8,14,31,2016,7,8,14,43,STN-00256,______,STN-00204,___________,P-COM,___0_415,415,0:12:13,196.4374, , ,,Stuff
MNR-03375,2016,7,8,13,37,2016,7,8,13,40,2016,7,8,15,0,2016,7,8,13,43,2016,7,8,15,38,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,1:55:03,88.6112, , ,,Stuff
MNR-03374,2016,7,8,11,21,2016,7,8,11,30,2016,7,8,15,55,2016,7,8,11,43,2016,7,8,11,47,STN-00248,_______,STN-00259,__________,P-COM,___0_425,425,0:04:25,71.9162, , ,,Stuff
MNR-03373,2016,7,8,11,19,2016,7,8,11,20,2016,7,8,15,45,2016,7,8,11,29,2016,7,8,11,39,STN-00202,________,STN-00238,____K_____,P-COM,___0_429,429,0:09:28,166.2808, , ,,Stuff
MNR-03372,2016,7,8,10,44,2016,7,8,10,50,2016,7,8,15,15,2016,7,8,11,17,2016,7,8,11,18,STN-00256,______,STN-00237,_______________,P-COM,___0_420,420_1,0:01:39,24.5052, , ,,Stuff
MNR-03371,2016,7,8,10,42,2016,7,8,10,50,2016,7,8,15,15,2016,7,8,11,6,2016,7,8,11,12,STN-00236,____K_______,STN-00224,_______,P-COM,___0_417,417_1,0:06:10,116.3623, , ,,Stuff
MNR-03370,2016,7,8,8,12,2016,7,8,8,15,2016,7,8,12,40,2016,7,8,8,25,2016,7,8,8,26,STN-00204,___________,STN-00202,________,P-COM,___0_429,429,0:01:26,23.7129, , ,,Stuff
MNR-03369,2016,7,7,16,39,2016,7,7,16,45,2016,7,7,21,10,2016,7,7,17,15,2016,7,7,17,32,STN-00255,________________,STN-00204,___________,P-COM,___0_428,428,0:17:11,209.4118, , ,,Stuff
MNR-03368,2016,7,7,16,38,2016,7,7,16,45,2016,7,7,21,10,2016,7,7,16,58,2016,7,7,17,7,STN-00198,_____,STN-00255,________________,P-COM,___0_431,431,0:09:23,237.1576, , ,,Stuff
MNR-03366,2016,7,7,15,20,2016,7,7,15,25,2016,7,7,19,50,2016,7,7,15,37,2016,7,7,15,53,STN-00198,_____,STN-00244,________,P-COM,___0_405,405,0:15:54,168.9573, , ,,Stuff
MNR-03367,2016,7,7,15,21,2016,7,7,15,25,2016,7,7,22,0,2016,7,7,15,27,2016,7,7,20,34,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,5:06:54,186.7549, , ,,Stuff
MNR-03365,2016,7,7,14,49,2016,7,7,14,55,2016,7,7,19,20,2016,7,7,15,0,2016,7,7,15,20,STN-00254,_________,STN-00258,_____,P-COM,___0_402,402,0:19:41,285.8152, , ,,Stuff
MNR-03364,2016,7,7,14,45,2016,7,7,14,50,2016,7,7,16,0,2016,7,7,14,55,2016,7,7,15,12,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,0:17:01,124.0491, , ,,Stuff
MNR-03363,2016,7,7,14,25,2016,7,7,14,30,2016,7,7,18,55,2016,7,7,14,30,2016,7,7,14,44,STN-00198,_____,STN-00248,_______,P-COM,___0_425,425,0:13:35,310.1828, , ,,Stuff
MNR-03362,2016,7,7,14,13,2016,7,7,14,20,2016,7,7,15,30,2016,7,7,14,22,2016,7,7,14,26,STN-00193,________,STN-00231,____K_____,P-COM,___0_429,429,0:03:31,38.7959, , ,,Stuff
MNR-03361,2016,7,7,13,56,2016,7,7,14,0,2016,7,7,18,25,2016,7,7,14,4,2016,7,7,14,15,STN-00193,________,STN-00244,________,P-COM,___0_417,417_1,0:11:04,163.4007, , ,,Stuff
MNR-03360,2016,7,7,11,48,2016,7,7,11,55,2016,7,7,16,20,2016,7,7,12,10,2016,7,7,12,23,STN-00255,________________,STN-00198,_____,P-COM,___0_431,431,0:12:37,225.7415, , ,,Stuff
MNR-03359,2016,7,7,11,48,2016,7,7,11,50,2016,7,7,16,15,2016,7,7,11,56,2016,7,7,12,5,STN-00198,_____,STN-00255,________________,P-COM,___0_428,428,0:08:21,258.7393, , ,,Stuff
MNR-03358,2016,7,7,11,26,2016,7,7,11,30,2016,7,7,15,55,2016,7,7,11,40,2016,7,7,11,46,STN-00240,____K_____,STN-00198,_____,P-COM,___0_405,405,0:06:28,148.5019, , ,,Stuff
MNR-03357,2016,7,7,11,25,2016,7,7,11,30,2016,7,7,15,55,2016,7,7,11,31,2016,7,7,11,38,STN-00198,_____,STN-00240,____K_____,P-COM,___0_416,416_1,0:07:23,113.613, , ,,Stuff
MNR-03356,2016,7,7,11,5,2016,7,7,11,10,2016,7,7,15,35,2016,7,7,11,20,2016,7,7,11,24,STN-00204,___________,STN-00198,_____,P-COM,___0_425,425,0:03:27,70.6508, , ,,Stuff
MNR-03355,2016,7,7,11,4,2016,7,7,11,10,2016,7,8,15,35,2016,7,7,11,9,2016,7,7,11,14,STN-00198,_____,STN-00204,___________,P-COM,___0_420,420_1,0:04:33,70.7102, , ,,Stuff
MNR-03354,2016,7,7,10,59,2016,7,7,11,5,2016,7,7,12,30,2016,7,7,11,8,2016,7,7,12,1,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,0:52:42,297.7051, , ,,Stuff
MNR-03353,2016,7,7,10,24,2016,7,7,10,30,2016,7,7,14,55,2016,7,7,10,55,2016,7,7,11,1,STN-00237,_______________,STN-00198,_____,P-COM,___0_428,428,0:05:27,156.9569, , ,,Stuff
MNR-03352,2016,7,7,10,22,2016,7,7,10,30,2016,7,7,14,55,2016,7,7,10,40,2016,7,7,10,48,STN-00198,_____,STN-00256,______,P-COM,___0_415,415,0:08:37,193.7338, , ,,Stuff
MNR-03351,2016,7,7,10,11,2016,7,7,10,15,2016,7,7,14,40,2016,7,7,10,29,2016,7,7,10,34,STN-00230,____K_______,STN-00198,_____,P-COM,___0_416,416_1,0:04:33,42.8811, , ,,Stuff
MNR-03350,2016,7,7,10,10,2016,7,7,10,15,2016,7,7,14,40,2016,7,7,10,19,2016,7,7,10,25,STN-00198,_____,STN-00191,________,P-COM,___0_418,418,0:05:46,87.9307, , ,,Stuff
MNR-03349,2016,7,7,10,9,2016,7,7,10,10,2016,7,7,14,35,2016,7,7,10,14,2016,7,7,10,18,STN-00202,________,STN-00198,_____,P-COM,___0_420,420_1,0:03:36,53.2117, , ,,Stuff
MNR-03348,2016,7,7,10,7,2016,7,7,10,10,2016,7,7,14,35,2016,7,7,10,10,2016,7,7,10,13,STN-00198,_____,STN-00202,________,P-COM,___0_417,417_1,0:03:14,40.5806, , ,,Stuff
MNR-03347,2016,7,7,9,49,2016,7,7,9,50,2016,7,7,10,55,2016,7,7,9,55,2016,7,7,10,55,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,1:00:42,336.8648, , ,,Stuff
MNR-03346,2016,7,7,8,36,2016,7,7,8,40,2016,7,7,13,5,2016,7,7,8,59,2016,7,7,9,8,STN-00223,________,STN-00198,_____,P-COM,___0_415,415,0:09:15,214.5039, , ,,Stuff
MNR-03345,2016,7,7,8,36,2016,7,7,8,40,2016,7,7,13,5,2016,7,7,8,48,2016,7,7,8,56,STN-00198,_____,STN-00223,________,P-COM,___0_430,430,0:08:37,242.4651, , ,,Stuff
MNR-03343,2016,7,6,19,4,2016,7,6,19,10,2016,7,6,23,35,2016,7,6,19,22,2016,7,6,19,31,STN-00252,_____,STN-00256,______,P-COM,___0_425,425,0:08:58,118.5752, , ,,Stuff
MNR-03344,2016,7,6,19,5,2016,7,6,19,10,2016,7,6,23,35,2016,7,6,19,15,2016,7,6,19,21,STN-00256,______,STN-00252,_____,P-COM,___0_426,426,0:06:04,124.9423, , ,,Stuff
MNR-03342,2016,7,6,15,44,2016,7,6,15,45,2016,7,6,20,10,2016,7,6,15,46,2016,7,6,15,49,STN-00198,_____,STN-00202,________,P-COM,___0_420,420_1,0:03:13,34.795, , ,,Stuff
MNR-03341,2016,7,6,14,25,2016,7,6,14,30,2016,7,6,18,55,2016,7,6,15,23,2016,7,6,15,41,STN-00259,__________,STN-00198,_____,P-COM,___0_420,420_1,0:18:20,358.0103, , ,,Stuff
MNR-03340,2016,7,6,14,24,2016,7,6,14,30,2016,7,6,18,55,2016,7,6,14,58,2016,7,6,15,5,STN-00231,____K_____,STN-00204,___________,P-COM,___0_421,421,0:07:08,78.6987, , ,,Stuff
MNR-03339,2016,7,6,13,57,2016,7,6,14,0,2016,7,6,18,25,2016,7,6,14,36,2016,7,6,14,51,STN-00257,_____,STN-00198,_____,P-COM,___0_417,417_1,0:14:52,222.2206, , ,,Stuff
MNR-03338,2016,7,6,13,56,2016,7,6,14,0,2016,7,6,18,25,2016,7,6,14,15,2016,7,6,14,34,STN-00255,________________,STN-00257,_____,B-COM,___0_408,408,0:19:03,478.2104, , ,,Stuff
MNR-03336,2016,7,6,10,54,2016,7,6,11,0,2016,7,6,15,25,2016,7,6,11,42,2016,7,6,11,57,STN-00249,_____,STN-00230,____K_______,P-COM,___0_416,416_1,0:14:53,290.3572, , ,,Stuff
MNR-03335,2016,7,6,10,53,2016,7,6,11,0,2016,7,6,15,25,2016,7,6,11,27,2016,7,6,11,41,STN-00230,____K_______,STN-00249,_____,P-COM,___0_412,412,0:13:14,217.8693, , ,,Stuff
MNR-03334,2016,7,6,10,8,2016,7,6,10,20,2016,7,6,14,45,2016,7,6,10,59,2016,7,6,11,17,STN-00248,_______,STN-00198,_____,P-COM,___0_418,418,0:18:03,294.1999, , ,,Stuff
MNR-03333,2016,7,6,10,7,2016,7,6,10,15,2016,7,6,14,40,2016,7,6,10,42,2016,7,6,10,58,STN-00198,_____,STN-00248,_______,P-COM,___0_404,404,0:16:36,301.2145, , ,,Stuff
MNR-03332,2016,7,6,9,47,2016,7,6,9,50,2016,7,6,14,15,2016,7,6,10,25,2016,7,6,10,39,STN-00229,____K_______,STN-00198,_____,P-COM,___0_420,420_1,0:14:00,379.6996, , ,,Stuff
MNR-03331,2016,7,6,9,46,2016,7,6,9,50,2016,7,6,14,15,2016,7,6,10,5,2016,7,6,10,23,STN-00198,_____,STN-00229,____K_______,P-COM,___0_427,427_1,0:18:21,283.0674, , ,,Stuff
MNR-03330,2016,7,5,20,10,2016,7,5,20,15,2016,7,6,0,40,2016,7,5,20,58,2016,7,6,7,16,STN-00259,__________,STN-00201,__________,P-COM,___0_417,417_1,10:17:57,0, , ,,Stuff
MNR-03329,2016,7,5,20,9,2016,7,5,20,15,2016,7,6,0,40,2016,7,5,20,49,2016,7,5,20,57,STN-00238,____K_____,STN-00259,__________,P-COM,___0_430,430,0:07:50,133.1365, , ,,Stuff
MNR-03328,2016,7,5,20,6,2016,7,5,20,10,2016,7,6,0,35,2016,7,5,20,23,2016,7,5,20,50,STN-00255,________________,STN-00238,____K_____,P-COM,___0_401,401,0:27:32,452.9497, , ,,Stuff
MNR-03327,2016,7,5,18,20,2016,7,5,18,25,2016,7,5,19,25,2016,7,5,18,31,2016,7,5,18,38,STN-00198,_____,STN-00204,___________,P-COM,___0_401,401,0:07:02,65.4562, , ,,Stuff
MNR-03326,2016,7,5,17,39,2016,7,5,17,45,2016,7,5,22,10,2016,7,5,17,54,2016,7,5,18,2,STN-00256,______,STN-00198,_____,P-COM,___0_427,427_1,0:07:54,194.759, , ,,Stuff
MNR-03325,2016,7,5,17,38,2016,7,5,17,40,2016,7,5,22,5,2016,7,5,17,40,2016,7,5,17,52,STN-00198,_____,STN-00256,______,P-COM,___0_426,426,0:12:06,195.2865, , ,,Stuff
MNR-03324,2016,7,5,17,1,2016,7,5,17,5,2016,7,5,21,30,2016,7,5,17,20,2016,7,5,17,32,STN-00255,________________,STN-00198,_____,P-COM,___0_404,404,0:11:59,231.9172, , ,,Stuff
MNR-03323,2016,7,5,17,1,2016,7,5,17,5,2016,7,5,21,30,2016,7,5,17,3,2016,7,5,17,17,STN-00198,_____,STN-00255,________________,B-COM,___0_408,408,0:13:30,255.1305, , ,,Stuff
MNR-03322,2016,7,5,16,24,2016,7,5,16,30,2016,7,5,20,55,2016,7,5,16,40,2016,7,5,16,58,STN-00247,_____,STN-00198,_____,P-COM,___0_401,401,0:17:39,307.2823, , ,,Stuff
MNR-03321,2016,7,5,16,23,2016,7,5,16,25,2016,7,5,20,50,2016,7,5,16,25,2016,7,5,16,38,STN-00198,_____,STN-00247,_____,P-COM,___0_419,419_1,0:13:12,308.7334, , ,,Stuff
MNR-03320,2016,7,5,15,46,2016,7,5,15,50,2016,7,5,20,15,2016,7,5,16,9,2016,7,5,16,15,STN-00201,__________,STN-00198,_____,B-COM,___0_408,408,0:06:43,140.5512, , ,,Stuff
MNR-03319,2016,7,5,15,45,2016,7,5,15,50,2016,7,5,20,15,2016,7,5,15,48,2016,7,5,15,59,STN-00198,_____,STN-00238,____K_____,P-COM,___0_430,430,0:11:26,250.2157, , ,,Stuff
MNR-03317,2016,7,5,15,13,2016,7,5,15,15,2016,7,5,19,40,2016,7,5,15,34,2016,7,5,15,39,STN-00233,____K______,STN-00198,_____,P-COM,___0_426,426,0:04:59,90.9449, , ,,Stuff
MNR-03318,2016,7,5,15,24,2016,7,5,15,30,2016,7,5,18,0,2016,7,5,15,26,2016,7,5,16,29,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,1:02:11,792.6365, , ,,Stuff
MNR-03316,2016,7,5,15,12,2016,7,5,15,15,2016,7,5,19,40,2016,7,5,15,22,2016,7,5,15,26,STN-00198,_____,STN-00233,____K______,P-COM,___0_424,424,0:03:48,74.35, , ,,Stuff
MNR-03315,2016,7,5,14,54,2016,7,5,14,55,2016,7,5,15,25,2016,7,5,14,57,2016,7,5,14,59,STN-00198,_____,STN-00198,_____,P-COM,___0_430,430,0:01:53,0, , ,,Stuff
MNR-03314,2016,7,5,14,50,2016,7,5,14,55,2016,7,5,19,20,2016,7,5,14,53,2016,7,5,15,1,STN-00198,_____,STN-00195,_____,P-COM,___0_423,423,0:08:50,124.787, , ,,Stuff
MNR-03312,2016,7,5,13,50,2016,7,5,13,55,2016,7,5,18,20,2016,7,5,14,29,2016,7,5,14,49,STN-00232,____K_____,STN-00198,_____,P-COM,___0_430,430,0:19:57,350.7263, , ,,Stuff
MNR-03311,2016,7,5,13,49,2016,7,5,13,55,2016,7,5,18,20,2016,7,5,14,6,2016,7,5,14,22,STN-00198,_____,STN-00258,_____,P-COM,___0_407,407,0:15:52,298.908, , ,,Stuff
MNR-03310,2016,7,5,13,2,2016,7,5,13,5,2016,7,5,17,30,2016,7,5,13,14,2016,7,5,13,25,STN-00253,______,STN-00198,_____,P-COM,___0_419,419_1,0:11:33,236.4192, , ,,Stuff
MNR-03309,2016,7,5,13,0,2016,7,5,13,5,2016,7,5,17,30,2016,7,5,13,2,2016,7,5,13,14,STN-00198,_____,STN-00253,______,P-COM,___0_414,414,0:12:06,242.7891, , ,,Stuff
MNR-03308,2016,7,5,12,34,2016,7,5,12,40,2016,7,5,17,5,2016,7,5,12,43,2016,7,5,12,47,STN-00204,___________,STN-00198,_____,P-COM,___0_423,423,0:04:04,67.7909, , ,,Stuff
MNR-03307,2016,7,5,12,34,2016,7,5,12,40,2016,7,5,17,5,2016,7,5,12,37,2016,7,5,12,41,STN-00198,_____,STN-00204,___________,P-COM,___0_413,413,0:04:34,65.6229, , ,,Stuff
MNR-03306,2016,7,5,12,16,2016,7,5,12,20,2016,7,5,16,45,2016,7,5,12,25,2016,7,5,12,29,STN-00236,____K_______,STN-00198,_____,P-COM,___0_407,407,0:03:25,86.6654, , ,,Stuff
MNR-03305,2016,7,5,12,15,2016,7,5,12,20,2016,7,5,16,45,2016,7,5,12,20,2016,7,5,12,23,STN-00198,_____,STN-00236,____K_______,P-COM,___0_422,422,0:03:29,80.7157, , ,,Stuff
MNR-03301,2016,7,5,11,32,2016,7,5,11,35,2016,7,5,16,0,2016,7,5,12,5,2016,7,5,12,8,STN-00236,____K_______,STN-00198,_____,P-COM,___0_424,424,0:03:08,92.1503, , ,,Stuff
MNR-03304,2016,7,5,11,46,2016,7,5,11,50,2016,7,5,16,15,2016,7,5,11,56,2016,7,5,12,0,STN-00204,___________,STN-00198,_____,P-COM,___0_414,414,0:04:18,73.5331, , ,,Stuff
MNR-03303,2016,7,5,11,43,2016,7,5,11,50,2016,7,5,16,15,2016,7,5,11,50,2016,7,5,11,53,STN-00198,_____,STN-00204,___________,P-COM,___0_402,402,0:03:25,70.6953, , ,,Stuff
MNR-03302,2016,7,5,11,39,2016,7,5,11,40,2016,7,5,16,5,2016,7,5,11,41,2016,7,5,11,44,STN-00193,________,STN-00198,_____,P-COM,___0_413,413,0:03:16,56.4111, , ,,Stuff
MNR-03300,2016,7,5,11,31,2016,7,5,11,35,2016,7,5,16,0,2016,7,5,11,34,2016,7,5,11,38,STN-00198,_____,STN-00193,________,P-COM,___0_429,429,0:04:09,105.8492, , ,,Stuff
MNR-03299,2016,7,5,11,12,2016,7,5,11,15,2016,7,5,15,40,2016,7,5,11,22,2016,7,5,11,27,STN-00231,____K_____,STN-00198,_____,P-COM,___0_422,422,0:04:44,64.6341, , ,,Stuff
MNR-03298,2016,7,5,11,11,2016,7,5,11,15,2016,7,5,15,40,2016,7,5,11,14,2016,7,5,11,23,STN-00198,_____,STN-00231,____K_____,P-COM,___0_421,421,0:08:42,65.7876, , ,,Stuff
MNR-03297,2016,7,5,10,50,2016,7,5,10,55,2016,7,5,15,20,2016,7,5,11,2,2016,7,5,11,9,STN-00191,________,STN-00198,_____,P-COM,___0_402,402,0:07:15,98.2102, , ,,Stuff
MNR-03296,2016,7,5,10,49,2016,7,5,10,55,2016,7,5,15,20,2016,7,5,10,53,2016,7,5,10,58,STN-00198,_____,STN-00230,____K_______,P-COM,___0_412,412,0:04:55,52.0323, , ,,Stuff
MNR-03295,2016,7,5,10,26,2016,7,5,10,30,2016,7,5,14,55,2016,7,5,10,41,2016,7,5,10,46,STN-00204,___________,STN-00198,_____,P-COM,___0_429,429,0:04:46,72.8819, , ,,Stuff
MNR-03294,2016,7,5,10,25,2016,7,5,10,30,2016,7,5,14,55,2016,7,5,10,31,2016,7,5,10,36,STN-00198,_____,STN-00204,___________,P-COM,___0_403,403,0:04:15,70.8112, , ,,Stuff
MNR-03293,2016,7,5,9,54,2016,7,5,10,0,2016,7,5,14,25,2016,7,5,10,12,2016,7,5,10,16,STN-00233,____K______,STN-00198,_____,P-COM,___0_421,421,0:04:09,74.2019, , ,,Stuff
MNR-03292,2016,7,5,9,54,2016,7,5,10,0,2016,7,5,14,25,2016,7,5,10,5,2016,7,5,10,8,STN-00198,_____,STN-00233,____K______,P-COM,___0_426,426,0:03:50,77.4796, , ,,Stuff
MNR-03291,2016,7,4,20,13,2016,7,4,20,15,2016,7,5,0,40,2016,7,4,20,18,2016,7,4,20,38,STN-00198,_____,STN-00201,__________,B-COM,___0_408,408,0:20:01,112.0993, , ,,Stuff
MNR-03290,2016,7,4,20,12,2016,7,4,20,15,2016,7,5,0,40,2016,7,4,20,15,2016,7,4,20,19,STN-00202,________,STN-00198,_____,P-COM,___0_403,403,0:03:23,53.3836, , ,,Stuff
MNR-03289,2016,7,4,18,30,2016,7,4,18,35,2016,7,4,23,0,2016,7,4,19,7,2016,7,4,20,11,STN-00201,__________,STN-00204,___________,P-COM,___0_423,423,1:03:27,137.0099, , ,,Stuff
MNR-03288,2016,7,4,18,3,2016,7,4,18,10,2016,7,4,22,35,2016,7,4,18,14,2016,7,4,18,16,STN-00196,____ ________,STN-00204,___________,P-COM,___0_404,404,0:01:59,44.8358, , ,,Stuff
MNR-03287,2016,7,4,11,31,2016,7,4,11,35,2016,7,4,16,0,2016,7,4,11,54,2016,7,4,11,59,STN-00231,____K_____,STN-00202,________,P-COM,___0_403,403,0:05:08,89.6671, , ,,Stuff
MNR-03286,2016,7,4,11,30,2016,7,4,11,35,2016,7,4,16,0,2016,7,4,11,46,2016,7,4,11,53,STN-00224,_______,STN-00231,____K_____,P-COM,___0_422,422,0:06:56,90.7195, , ,,Stuff
MNR-03285,2016,7,4,10,23,2016,7,4,10,30,2016,7,4,14,55,2016,7,4,11,18,2016,7,4,11,27,STN-00257,_____,STN-00259,__________,P-COM,___0_417,417_1,0:09:14,193.5015, , ,,Stuff
MNR-03284,2016,7,4,10,22,2016,7,4,10,30,2016,7,4,14,55,2016,7,4,10,51,2016,7,4,11,5,STN-00204,___________,STN-00248,_______,P-COM,___0_405,405,0:13:59,250.161, , ,,Stuff
MNR-03283,2016,7,3,17,16,2016,7,3,17,20,2016,7,3,21,45,2016,7,3,17,39,2016,7,3,17,46,STN-00198,_____,STN-00195,_____,P-COM,___0_429,429,0:06:40,80.2283, , ,,Stuff
MNR-03282,2016,7,3,16,53,2016,7,3,17,0,2016,7,3,21,25,2016,7,3,17,25,2016,7,3,17,32,STN-00244,________,STN-00233,____K______,P-COM,___0_421,421,0:07:28,99.1851, , ,,Stuff
MNR-03281,2016,7,3,13,51,2016,7,3,13,55,2016,7,3,18,20,2016,7,3,13,58,2016,7,3,14,2,STN-00254,_________,STN-00240,____K_____,P-COM,___0_418,418,0:03:29,67.0306, , ,,Stuff
MNR-03280,2016,7,3,12,54,2016,7,3,13,0,2016,7,3,13,55,2016,7,3,13,0,2016,7,3,13,31,STN-00204,___________,STN-00204,___________,P-COM,___0_416,416_1,0:31:21,141.0943, , ,,Stuff
MNR-03279,2016,7,3,10,58,2016,7,3,11,0,2016,7,3,15,25,2016,7,3,11,17,2016,7,3,11,32,STN-00229,____K_______,STN-00198,_____,P-COM,___0_412,412,0:14:49,315.1906, , ,,Stuff
MNR-03278,2016,7,3,10,57,2016,7,3,11,0,2016,7,3,15,25,2016,7,3,11,3,2016,7,3,11,11,STN-00256,______,STN-00229,____K_______,P-COM,___0_420,420_1,0:08:00,139.3564, , ,,Stuff
MNR-03277,2016,7,3,10,19,2016,7,3,10,20,2016,7,3,14,45,2016,7,3,10,53,2016,7,3,10,56,STN-00224,_______,STN-00256,______,P-COM,___0_427,427_1,0:03:37,85.5034, , ,,Stuff
MNR-03276,2016,7,3,10,6,2016,7,3,10,10,2016,7,3,14,35,2016,7,3,10,30,2016,7,3,10,44,STN-00198,_____,STN-00244,________,P-COM,___0_424,424,0:14:21,211.47, , ,,Stuff
MNR-03273,2016,7,2,16,43,2016,7,2,16,50,2016,7,2,21,15,2016,7,2,17,46,2016,7,2,18,8,STN-00193,________,STN-00249,_____,P-COM,___0_426,426,0:22:20,506.7712, , ,,Stuff
MNR-03272,2016,7,2,16,42,2016,7,2,16,50,2016,7,2,21,15,2016,7,2,16,51,2016,7,2,16,53,STN-00202,________,STN-00204,___________,P-COM,___0_416,416_1,0:02:27,40.9853, , ,,Stuff
MNR-03271,2016,7,2,8,15,2016,7,2,8,30,2016,7,2,18,0,2016,7,2,9,15,2016,7,2,15,17,STN-00204,___________,STN-00204,___________,P-COM,___0_414,414,6:01:45,2295.1455, , ,,Stuff
MNR-03270,2016,7,1,19,7,2016,7,1,19,10,2016,7,1,23,35,2016,7,1,19,22,2016,7,1,19,28,STN-00197,__________ ________,STN-00191,________,P-COM,___0_402,402,0:05:26,91.6496, , ,,Stuff
MNR-03269,2016,7,1,18,53,2016,7,1,19,0,2016,7,1,23,25,2016,7,1,18,59,2016,7,1,19,1,STN-00204,___________,STN-00196,____ ________,P-COM,___0_404,404,0:02:06,24.7566, , ,,Stuff
MNR-03268,2016,7,1,16,53,2016,7,1,17,0,2016,7,1,21,25,2016,7,1,17,4,2016,7,1,17,8,STN-00248,_______,STN-00259,__________,P-COM,___0_421,421,0:04:35,68.8524, , ,,Stuff
MNR-03267,2016,7,1,16,14,2016,7,1,16,20,2016,7,1,20,45,2016,7,1,16,48,2016,7,1,16,55,STN-00236,____K_______,STN-00195,_____,P-COM,___0_413,413,0:07:04,118.1347, , ,,Stuff
MNR-03266,2016,7,1,16,12,2016,7,1,16,15,2016,7,1,20,40,2016,7,1,16,35,2016,7,1,16,41,STN-00231,____K_____,STN-00256,______,P-COM,___0_420,420_1,0:06:40,128.7702, , ,,Stuff
MNR-03265,2016,7,1,10,9,2016,7,1,10,15,2016,7,1,10,45,2016,7,1,10,20,2016,7,1,10,22,STN-00231,____K_____,STN-00231,____K_____,P-COM,___0_420,420_1,0:01:12,2.6963, , ,,Stuff
MNR-03264,2016,7,1,8,32,2016,7,1,8,35,2016,7,1,13,0,2016,7,1,9,5,2016,7,1,9,9,STN-00224,_______,STN-00244,________,P-COM,___0_401,401,0:03:15,36.4615, , ,,Stuff
MNR-03263,2016,7,1,8,31,2016,7,1,8,35,2016,7,1,13,0,2016,7,1,8,48,2016,7,1,9,2,STN-00198,_____,STN-00223,________,P-COM,___0_415,415,0:13:15,185.7449, , ,,Stuff
MNR-03262,2016,6,30,16,59,2016,6,30,17,0,2016,6,30,21,25,2016,6,30,17,4,2016,6,30,17,7,STN-00204,___________,STN-00202,________,B-COM,___0_408,408,0:02:14,30.5199, , ,,Stuff
MNR-03261,2016,6,30,16,0,2016,6,30,16,5,2016,6,30,20,30,2016,6,30,16,16,2016,6,30,16,28,STN-00225,____,STN-00248,_______,P-COM,___0_422,422,0:12:29,278.5375, , ,,Stuff
MNR-03258,2016,6,30,10,4,2016,6,30,10,10,2016,6,30,14,35,2016,6,30,11,57,2016,6,30,12,2,STN-00230,____K_______,STN-00202,________,P-COM,___0_416,416_1,0:04:26,47.5304, , ,,Stuff
MNR-03257,2016,6,30,10,3,2016,6,30,10,10,2016,6,30,14,35,2016,6,30,11,34,2016,6,30,11,35,STN-00237,_______________,STN-00256,______,P-COM,___0_414,414,0:01:39,35.7503, , ,,Stuff
MNR-03256,2016,6,30,10,3,2016,6,30,10,10,2016,6,30,14,35,2016,6,30,11,31,2016,6,30,11,33,STN-00256,______,STN-00237,_______________,P-COM,___0_424,424,0:01:44,30.1507, , ,,Stuff
MNR-03255,2016,6,30,10,2,2016,6,30,10,10,2016,6,30,14,35,2016,6,30,11,24,2016,6,30,11,36,STN-00252,_____,STN-00229,____K_______,P-COM,___0_412,412,0:11:43,244.9522, , ,,Stuff
MNR-03260,2016,6,30,10,9,2016,6,30,10,15,2016,6,30,14,40,2016,6,30,11,7,2016,6,30,11,11,STN-00254,_________,STN-00201,__________,P-COM,___0_423,423,0:03:38,59.4317, , ,,Stuff
MNR-03259,2016,6,30,10,8,2016,6,30,10,15,2016,6,30,14,40,2016,6,30,10,40,2016,6,30,10,51,STN-00240,____K_____,STN-00259,__________,P-COM,___0_429,429,0:11:16,231.356, , ,,Stuff
MNR-03254,2016,6,29,19,49,2016,6,29,19,55,2016,6,30,0,20,2016,6,29,19,56,2016,6,29,20,12,STN-00201,__________,STN-00259,__________,P-COM,___0_415,415,0:15:53,257.3956, , ,,Stuff
MNR-03253,2016,6,29,16,46,2016,6,29,16,50,2016,6,29,21,15,2016,6,29,17,7,2016,6,29,17,14,STN-00198,_____,STN-00204,___________,P-COM,___0_412,412,0:07:16,66.9225, , ,,Stuff
MNR-03251,2016,6,29,16,6,2016,6,29,16,15,2016,6,29,20,40,2016,6,29,16,53,2016,6,29,16,59,STN-00238,____K_____,STN-00195,_____,P-COM,___0_420,420_1,0:06:11,141.9483, , ,,Stuff
