196848,7:36:00,70 Van Rensselaer Pl Boston Ma 02116,-71.06548,42.351568,7:42:00,330 Congress St Boston Ma 02210,-71.049422,42.350965,0:06:00
152930,7:55:00,50 Custom House St Boston Ma 02110,-71.053125,42.358143,8:02:00,5 Staniford St Boston Ma 02114,-71.063643,42.361363,0:07:00
163843,8:13:00,398 Stuart St Boston Ma 02116,-71.074283,42.34892,8:20:00,70 City Hall Ave Boston Ma 02108,-71.059273,42.357907,0:07:00
163963,8:15:00,80 School St Boston Ma 02108,-71.060032,42.3579,8:26:00,210 Mount Vernon St Boston Ma,-71.048907,42.319577,0:11:00
164060,8:21:00,104 Causeway St Boston Ma 02114,-71.06172,42.365322,8:31:00,51 Northern Ave Boston Ma 02210,-71.047152,42.353525,0:10:00
164063,8:24:00,Avenue Of The Arts Boston Ma,-71.086478,42.341633,8:31:00,30 St James Ave Boston Ma 02116,-71.071603,42.3508,0:07:00
131153,8:39:00,Unnamed Road Boston Ma,-71.022558,42.365348,8:46:00,Unnamed Road Boston Ma,-71.041743,42.350048,0:07:00
131154,8:41:00,20 Oliver St Boston Ma 02110,-71.054705,42.356967,8:56:00,20 Oliver St Boston Ma 02110,-71.054563,42.357092,0:15:00
131155,8:42:00,330 W Broadway Boston Ma 02127,-71.050422,42.338545,8:53:00,10 Lagrange St Boston Ma 02116,-71.063025,42.351412,0:11:00
131156,8:43:00,270 Tremont St Boston Ma 02116,-71.065488,42.350013,8:51:00,130 Franklin St Boston Ma 02110,-71.056622,42.355463,0:08:00
131157,8:44:00,436 Atlantic Ave Boston Ma 02110,-71.052152,42.354137,8:50:00,Beacon St Boston Ma,-71.061297,42.358273,0:06:00
196687,8:45:00,170 Tremont St Boston Ma 02111,-71.064228,42.353533,9:01:00,Unnamed Road Boston Ma,-71.120502,42.365152,0:16:00
196694,8:48:00,372 Washington St Boston Ma 02108,-71.059475,42.35637,9:00:00,20 Sherborn St Boston Ma 02215,-71.100567,42.34975,0:12:00
131164,8:49:00,Unnamed Road Boston Ma,-71.040415,42.348663,9:09:00,120 Belvidere St Boston Ma 02115,-71.082192,42.34576,0:20:00
196695,8:50:00,30 Oliver St Boston Ma 02110,-71.053968,42.35664,8:53:00,277 Congress St Boston Ma 02210,-71.053197,42.353227,0:03:00
196696,8:51:00,60 Atlantic Ave Boston Ma 02110,-71.051083,42.36286,8:51:00,60 Atlantic Ave Boston Ma 02110,-71.051082,42.36287,0:00:00
196697,8:51:00,132 Northampton St Boston Ma 02118,-71.077715,42.336025,9:02:00,30 Francis St Boston Ma 02215,-71.105977,42.335328,0:11:00
196753,8:55:00,Charles St @ Cambridge St Boston Ma,-71.070465,42.361783,9:03:00,180 Clarendon St Boston Ma 02116,-71.074292,42.349043,0:08:00
180231,10:50:00,Unnamed Road Boston Ma,-71.083787,42.346092,11:01:00,Unnamed Road Boston Ma,-71.021917,42.365112,0:11:00
202088,12:00:00,80 Franklin St Boston Ma 02110,-71.057668,42.355478,12:08:00,208 Berkeley St Boston Ma 02116,-71.07263,42.350528,0:08:00
