tripduration;Starttime;Stoptime;start station id;start station name;start station latitude;start station longitude;end station id;end station name;end station latitude;end station longitude;bikeid
1685;01/09/2019 00:10;01/09/2019 00:38;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;72;One Broadway / Kendall Sq at Main St / 3rd St;42,362242;-71,083111;5361
904;01/09/2019 00:10;01/09/2019 00:25;63;Dorchester Ave at Gillette Park;42,3440405;-71,0573763;22;South Station - 700 Atlantic Ave;42,352175;-71,055547;2417
920;01/09/2019 00:10;01/09/2019 00:25;63;Dorchester Ave at Gillette Park;42,3440405;-71,0573763;22;South Station - 700 Atlantic Ave;42,352175;-71,055547;4519
178;01/09/2019 00:11;01/09/2019 00:14;66;Allston Green District - Griggs St at Commonwealth Ave;42,3492247;-71,132753;66;Allston Green District - Griggs St at Commonwealth Ave;42,349225;-71,132753;5622
1304;01/09/2019 00:11;01/09/2019 00:33;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;121;W Broadway at Dorchester St;42,335959;-71,046229;3307
1472;01/09/2019 00:11;01/09/2019 00:36;329;Washington St at Myrtle St;42,3816998;-71,0837759;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;4036
169;01/09/2019 00:11;01/09/2019 00:14;76;Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St;42,366426;-71,105495;139;Dana Park;42,36178;-71,1081;2077
436;01/09/2019 00:11;01/09/2019 00:19;91;One Kendall Square at Hampshire St / Portland St;42,366277;-71,09169;420;Charles St at Pinckney St;42,358725;-71,070795;5005
1292;01/09/2019 00:12;01/09/2019 00:33;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;121;W Broadway at Dorchester St;42,335959;-71,046229;2142
1466;01/09/2019 00:12;01/09/2019 00:36;329;Washington St at Myrtle St;42,3816998;-71,0837759;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;3682
395;01/09/2019 00:12;01/09/2019 00:18;344;Commonwealth Ave at Chiswick Rd;42,3402465;-71,1516881;174;Washington St at Brock St;42,348953;-71,160317;2670
1322;01/09/2019 00:12;01/09/2019 00:34;386;Sennott Park  Broadway at Norfolk Street;42,3686052;-71,0993019;86;Brookline Village - Station Street at MBTA;42,332999;-71,116344;5231
629;01/09/2019 00:13;01/09/2019 00:23;381;Inman Square at Springfield St.;42,3743841;-71,1001575;139;Dana Park;42,36178;-71,1081;4827
634;01/09/2019 00:13;01/09/2019 00:23;381;Inman Square at Springfield St.;42,3743841;-71,1001575;139;Dana Park;42,36178;-71,1081;3221
738;01/09/2019 00:13;01/09/2019 00:25;16;Back Bay T Stop - Dartmouth St at Stuart St;42,3480741;-71,0765702;16;Back Bay T Stop - Dartmouth St at Stuart St;42,348074;-71,07657;3386
1359;01/09/2019 00:13;01/09/2019 00:36;329;Washington St at Myrtle St;42,3816998;-71,0837759;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;4786
1345;01/09/2019 00:13;01/09/2019 00:36;329;Washington St at Myrtle St;42,3816998;-71,0837759;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;4871
354;01/09/2019 00:14;01/09/2019 00:20;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;2091
1585;01/09/2019 00:14;01/09/2019 00:40;41;Packard's Corner - Commonwealth Ave at Brighton Ave;42,352261;-71,123831;76;Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St;42,366426;-71,105495;5345
3610;01/09/2019 00:14;01/09/2019 01:14;20;Aquarium T Stop - 200 Atlantic Ave;42,3599118;-71,0514298;75;Lafayette Square at Mass Ave / Main St / Columbia St;42,363465;-71,100573;4408
1996;01/09/2019 00:14;01/09/2019 00:48;192;Purchase St at Pearl St;42,354659;-71,053181;206;Government Center - Cambridge St at Court St;42,359803;-71,059608;3239
1651;01/09/2019 00:15;01/09/2019 00:42;24;Seaport Square - Seaport Blvd at Northern Ave;42,3514819;-71,0443609;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;5530
1614;01/09/2019 00:15;01/09/2019 00:42;24;Seaport Square - Seaport Blvd at Northern Ave;42,3514819;-71,0443609;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;5025
233;01/09/2019 00:15;01/09/2019 00:19;218;Watermark Seaport - Boston Wharf Rd at Seaport Blvd;42,351586;-71,0456926;157;Seaport Blvd at Sleeper St;42,353178;-71,048174;4960
2869;01/09/2019 00:15;01/09/2019 01:03;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;335;Harvard St at Greene-Rose Heritage Park;42,365994;-71,095222;5602
731;01/09/2019 00:15;01/09/2019 00:28;218;Watermark Seaport - Boston Wharf Rd at Seaport Blvd;42,351586;-71,0456926;40;Lewis Wharf at Atlantic Ave;42,363871;-71,050877;2299
1347;01/09/2019 00:16;01/09/2019 00:38;218;Watermark Seaport - Boston Wharf Rd at Seaport Blvd;42,351586;-71,0456926;90;Lechmere Station at Cambridge St / First St;42,370677;-71,076529;5073
1854;01/09/2019 00:16;01/09/2019 00:47;192;Purchase St at Pearl St;42,354659;-71,053181;206;Government Center - Cambridge St at Court St;42,359803;-71,059608;3820
2239;01/09/2019 00:17;01/09/2019 00:54;91;One Kendall Square at Hampshire St / Portland St;42,366277;-71,09169;44;Congress St at North St;42,360418;-71,057522;5373
180;01/09/2019 00:17;01/09/2019 00:20;19;Park Dr at Buswell St;42,347241;-71,105301;342;Boylston St at Jersey St;42,344651;-71,097325;5541
1792;01/09/2019 00:17;01/09/2019 00:47;349;Washington St at Talbot Ave;42,290333;-71,071806;349;Washington St at Talbot Ave;42,290333;-71,071806;2385
299;01/09/2019 00:18;01/09/2019 00:23;273;Forest Hills;42,300923;-71,114249;279;Williams St at Washington St;42,306539;-71,107669;1581
302;01/09/2019 00:18;01/09/2019 00:23;380;Mass Ave at Albany St;42,3613584;-71,0967027;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;2742
1030;01/09/2019 00:19;01/09/2019 00:36;54;Tremont St at West St;42,354979;-71,063348;225;Cambridge Dept. of Public Works -147 Hampshire St.;42,371197;-71,097599;5294
41566;01/09/2019 00:19;01/09/2019 11:52;192;Purchase St at Pearl St;42,354659;-71,053181;1;18 Dorrance Warehouse;42,387151;-71,075978;2540
763;01/09/2019 00:19;01/09/2019 00:32;10;B.U. Central - 725 Comm. Ave.;42,350406;-71,108279;33;Kenmore Square;42,348706;-71,097009;4821
934;01/09/2019 00:20;01/09/2019 00:35;19;Park Dr at Buswell St;42,347241;-71,105301;19;Park Dr at Buswell St;42,347241;-71,105301;2284
725;01/09/2019 00:20;01/09/2019 00:32;10;B.U. Central - 725 Comm. Ave.;42,350406;-71,108279;33;Kenmore Square;42,348706;-71,097009;3061
858;01/09/2019 00:20;01/09/2019 00:34;356;Charlestown Navy Yard;42,3741246;-71,054812;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;5385
285;01/09/2019 00:20;01/09/2019 00:25;94;Main St at Austin St;42,375603;-71,064608;129;Hayes Square - Vine St at Moulton St;42,377022;-71,056605;4924
140;01/09/2019 00:21;01/09/2019 00:23;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;53;Beacon St at Massachusetts Ave;42,350827;-71,089811;743
434;01/09/2019 00:21;01/09/2019 00:28;157;Seaport Blvd at Sleeper St;42,3531781;-71,0481736;40;Lewis Wharf at Atlantic Ave;42,363871;-71,050877;5652
958;01/09/2019 00:21;01/09/2019 00:37;98;Warren St at Chelsea St;42,371848;-71,060292;157;Seaport Blvd at Sleeper St;42,353178;-71,048174;3566
1564;01/09/2019 00:22;01/09/2019 00:48;192;Purchase St at Pearl St;42,354659;-71,053181;206;Government Center - Cambridge St at Court St;42,359803;-71,059608;1643
821;01/09/2019 00:22;01/09/2019 00:36;74;Harvard Square at Mass Ave/ Dunster;42,373268;-71,118579;74;Harvard Square at Mass Ave/ Dunster;42,373268;-71,118579;5158
1229;01/09/2019 00:23;01/09/2019 00:43;338;Commonwealth Ave at Kelton St;42,3483586;-71,1399722;91;One Kendall Square at Hampshire St / Portland St;42,366277;-71,09169;3251
