route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
712-3-1,712,1,Orient Heights via Highlands,Weekdays only,2,57120173,41165759
712-_-1,712,1,Orient Heights via Highlands,,2,57120184,41165815
712-2-1,712,1,Orient Heights via Highlands,Weekday mornings only,3,57120194,41165915
713-1-0,713,0,Winthrop Beach via Winthrop Center,,1,57130050,41165871
713-3-0,713,0,Winthrop Beach via Winthrop Center,Weekdays only,2,57130073,41165857
713-_-0,713,0,Point Shirley via Winthrop Center,,2,57130082,41165854
713-2-0,713,0,Point Shirley via Winthrop Center,Weekday mornings only,3,57130094,41165910
713-_-1,713,1,Orient Heights via Winthrop Center,,1,57130148,41165734
713-1-1,713,1,Orient Heights via Winthrop Center,,2,57130182,41165819
713-2-1,713,1,Orient Heights via Winthrop Center,Weekdays only,2,57130184,41165730
713-3-1,713,1,Orient Heights via Winthrop Center,Weekdays only,2,57130184,41165804
714-_-0,714,0,"Pemberton Point, Hull",,1,57140042,41166487
714-1-0,714,0,Pemberton Point via Hull Medical Center,Weekdays only,2,57140076,41166497
714-2-0,714,0,Pemberton Point via Washington Boulevard,Weekdays only,2,57140080,41166494
714-_-1,714,1,"Station Street, Hingham",,1,57140153,41166489
714-1-1,714,1,Station Street via Hull Medical Center,Weekday middays only,2,57140162,41166490
714-2-1,714,1,Station Street via Washington Boulevard,Weekdays only,2,57140183,41166486
716-_-0,716,0,"Cobbs Corner, Canton",,1,57160005,41166405
716-1-0,716,0,Cobbs Corner Canton,Saturdays only,3,57160094,41166411
716-_-1,716,1,Mattapan Station,,1,57160105,41166394
716-1-1,716,1,Mattapan,Saturdays only,3,57160194,41166419
