added_route_id,trip_id
116,40765708
117,40765708
116,40765711
117,40765711
116,40765712
117,40765712
116,40765715
117,40765715
116,40765718
117,40765718
116,40765719
117,40765719
116,40765722
117,40765722
116,40765724
117,40765724
116,40765726
117,40765726
116,40765682
117,40765682
116,40765683
117,40765683
116,40765684
117,40765684
116,40765685
117,40765685
116,40765686
117,40765686
116,40765687
117,40765687
116,40765688
117,40765688
116,40765689
117,40765689
116,40765690
117,40765690
116,40765691
117,40765691
116,40765692
117,40765692
116,40765693
117,40765693
214,40759510
216,40759510
214,40759533
216,40759533
214,40759534
216,40759534
214,40759535
216,40759535
214,40759536
216,40759536
214,40759537
216,40759537
214,40759538
216,40759538
214,40759539
216,40759539
214,40759540
216,40759540
214,40759563
216,40759563
214,40759564
216,40759564
214,40759576
216,40759576
214,40759597
216,40759597
214,40760445
216,40760445
214,40760452
216,40760452
214,40760475
216,40760475
214,40760477
216,40760477
214,40760481
216,40760481
214,40760484
216,40760484
214,40760486
216,40760486
214,40760487
216,40760487
214,40760549
216,40760549
214,40760560
216,40760560
214,40760582
216,40760582
214,40760588
216,40760588
214,40760619
216,40760619
214,40760659
216,40760659
214,40760661
216,40760661
214,40760667
216,40760667
214,40760669
216,40760669
214,40760684
216,40760684
214,40760688
216,40760688
214,40760692
216,40760692
214,40760696
216,40760696
214,40760698
216,40760698
214,40760706
216,40760706
214,40760817
216,40760817
214,40760818
216,40760818
214,40760824
216,40760824
214,40760840
216,40760840
214,40760841
216,40760841
214,40760842
216,40760842
214,40760843
216,40760843
214,40760848
216,40760848
214,40760852
216,40760852
214,40760455
216,40760455
214,40760660
216,40760660
214,40760662
216,40760662
214,40760668
216,40760668
214,40760676
216,40760676
214,40760821
216,40760821
214,40760825
216,40760825
214,40760829
216,40760829
214,40760830
216,40760830
214,40760835
216,40760835
214,40760836
216,40760836
214,40760837
216,40760837
214,40760838
216,40760838
214,40760849
216,40760849
214,40761228
216,40761228
214,40761232
216,40761232
214,40761249
216,40761249
214,40761250
216,40761250
214,40761252
216,40761252
214,40761263
216,40761263
214,40761272
216,40761272
214,40761283
216,40761283
214,40761285
216,40761285
214,40761288
216,40761288
214,40761292
216,40761292
214,40761364
216,40761364
214,40761366
216,40761366
214,40761368
216,40761368
214,40761372
216,40761372
214,40761373
216,40761373
214,40761375
216,40761375
214,40761377
216,40761377
214,40761381
216,40761381
214,40761383
216,40761383
214,40761385
216,40761385
214,40761472
216,40761472
214,40761494
216,40761494
214,40761496
216,40761496
24,40727895
27,40727895
24,40727897
27,40727897
24,40727899
27,40727899
24,40727901
27,40727901
24,40727903
27,40727903
24,40727905
27,40727905
24,40730519
27,40730519
24,40730520
27,40730520
24,40730521
27,40730521
24,40730522
27,40730522
24,40730523
27,40730523
24,40730524
27,40730524
24,40730525
27,40730525
24,40730526
27,40730526
24,40730527
27,40730527
24,40730528
27,40730528
24,40730529
27,40730529
24,40730530
